wig_id,name_index,ticker,kurs,zmiana,zmiana_pr,wplyw_na_indeks,udział_w_obrocie,pakiet,udział_portfel
108,FERRO,FRO,17.50,-0.30,-1.69,0.00,0.0700,21242000,0.13
109,FERRUM,FER,3.79,0.14,3.84,0.00,0.0000,6461000,0.01
110,FORTE,FTE,32.80,3.30,11.19,0.02,0.1900,16166000,0.19
111,GETIN,GTN,1.50,-0.07,-4.46,0.00,0.1000,85450000,0.05
112,GLCOSMED,GLC,1.08,-0.20,-15.62,0.00,0.0000,10719000,0.01
113,GPW,GPW,42.60,-0.40,-0.93,0.00,0.4200,27199000,0.42
114,GROCLIN,GCN,1.54,0.00,-0.13,0.00,0.0000,7375000,0.01
115,GRODNO,GRN,6.02,-0.56,-8.51,0.00,0.0200,2767000,0.01
116,GRUPAAZOTY,ATT,26.50,-1.08,-3.92,-0.02,0.4600,46803000,0.44
117,GTC,GTC,9.22,-0.24,-2.54,-0.02,0.1000,186980000,0.62
118,HANDLOWY,BHW,56.10,-0.10,-0.18,0.00,0.3300,32664000,0.66
119,HELIO,HEL,9.60,0.30,3.23,0.00,0.0000,975000,0.01
120,HYDROTOR,HDR,35.00,-0.40,-1.13,0.00,0.0000,1555000,0.02
121,I2DEV,I2D,8.50,0.00,0.00,0.00,0.0000,1440000,0.01
122,IDEABANK,IDA,2.30,-0.06,-2.54,0.00,0.0100,15235000,0.01
123,IFIRMA,IFI,3.67,-0.02,-0.54,0.00,0.0000,3401000,0.01
124,IIAAV,IIA,106.40,2.40,2.31,0.00,0.0000,162000,0.01
125,IMCOMPANY,IMC,13.20,-0.30,-2.22,0.00,0.0000,8572000,0.04
126,IMMOBILE,GKI,2.67,-0.03,-1.11,0.00,0.0000,14701000,0.01
127,IMPEL,IPL,8.50,0.00,0.00,0.00,0.0000,3551000,0.01
128,IMS,IMS,3.86,0.04,1.05,0.00,0.0100,14526000,0.02
129,INC,INC,1.97,0.00,0.00,0.00,0.0000,5922000,0.01
130,INGBSK,ING,204.50,-0.50,-0.24,-0.01,0.1100,32525000,2.39
131,INPRO,INP,4.72,-0.24,-4.84,0.00,0.0000,12110000,0.02
132,INSTALKRK,INK,18.45,-0.15,-0.81,0.00,0.0000,5977000,0.04
133,INTERAOLT,IRL,22.00,0.10,0.46,0.00,0.0200,3977000,0.03
134,INTERCARS,CAR,234.00,3.00,1.30,0.01,0.0600,8415000,0.71
135,INTERFERI,INF,3.88,-0.02,-0.51,0.00,0.0000,2243000,0.01
136,INTERSPPL,IPO,1.81,0.03,1.69,0.00,0.0000,5385000,0.01
137,INTROL,INL,2.42,-0.04,-1.63,0.00,0.0100,5537000,0.01
138,IPOPEMA,IPE,2.25,-0.21,-8.54,0.00,0.0100,15586000,0.01
139,IZOBLOK,IZB,40.00,0.10,0.25,0.00,0.0200,832000,0.01
140,IZOSTAL,IZS,2.67,0.00,0.00,0.00,0.0000,13005000,0.01
141,JSW,JSW,19.20,-1.34,-6.52,-0.02,2.8800,52636000,0.36
142,K2INTERNT,K2I,8.80,0.05,0.57,0.00,0.0000,1296000,0.01
143,KERNEL,KER,48.10,-0.05,-0.10,0.00,0.0400,38691000,0.67
144,KETY,KTY,347.00,-1.00,-0.29,0.00,0.1000,9569000,1.19
145,KGHM,KGH,93.16,-4.20,-4.31,-0.20,12.7000,136410000,4.56
146,KGL,KGL,14.30,0.30,2.14,0.00,0.0000,1728000,0.01
147,KINOPOL,KPL,9.85,0.10,1.03,0.00,0.0000,6908000,0.02
148,KOGENERA,KGN,35.70,-1.00,-2.72,0.00,0.0000,6247000,0.08
149,KOMPAP,KMP,6.40,-0.05,-0.78,0.00,0.0000,887000,0.01
150,KOMPUTRON,KOM,3.14,-0.11,-3.38,0.00,0.0000,4507000,0.01
151,KREC,KRC,6.85,0.00,0.00,0.00,0.0000,6050000,0.01
152,KRKA,KRK,320.00,5.00,1.59,0.00,0.0100,146000,0.02
153,KRUK,KRU,160.60,0.60,0.37,0.00,0.3300,17085000,0.98
154,KRUSZWICA,KSW,52.80,-0.40,-0.75,0.00,0.0200,2418000,0.05
155,KRVITAMIN,KVT,4.91,0.09,1.87,0.00,0.0000,1658000,0.01
156,LARQ,LRQ,3.98,0.30,8.15,0.00,0.0400,5016000,0.01
157,LENA,LEN,3.79,0.09,2.43,0.00,0.0000,10111000,0.01
158,LENTEX,LTX,7.44,0.18,2.48,0.00,0.0300,16508000,0.04
159,LIBET,LBT,0.54,0.00,0.00,0.00,0.0200,34971000,0.01
160,LIVECHAT,LVC,47.35,-0.15,-0.32,0.00,0.2800,13620000,0.23
161,LOKUM,LKD,14.40,0.00,0.00,0.00,0.0000,2815000,0.01
162,LOTOS,LTS,83.50,-2.36,-2.75,-0.07,1.9200,86543000,2.59
163,LPP,LPP,8385.00,-200.00,-2.33,-0.09,1.3000,1306000,3.93
164,LSISOFT,LSI,22.10,-0.60,-2.64,0.00,0.0200,1541000,0.01
165,LUBAWA,LBW,0.84,0.00,-0.47,0.00,0.0200,73170000,0.02
166,MABION,MAB,67.50,-3.60,-5.06,-0.01,0.2600,8276000,0.20
167,MAKARONPL,MAK,5.05,0.00,0.00,0.00,0.0000,2548000,0.01
168,MANGATA,MGT,74.50,0.00,0.00,0.00,0.0000,2270000,0.06
169,MARVIPOL,MVP,5.16,-0.04,-0.77,0.00,0.0300,12061000,0.02
170,MASTERPHA,MPH,4.70,-0.15,-3.09,0.00,0.0000,4933000,0.01
171,MAXCOM,MXC,15.40,-0.10,-0.65,0.00,0.0000,797000,0.01
172,MBANK,MBK,362.40,-16.60,-4.38,-0.07,0.5100,12997000,1.69
173,MBWS,MBW,10.00,-1.00,-9.09,0.00,0.0000,77000,0.01
174,MCI,MCI,10.65,-0.15,-1.39,0.00,0.0300,11970000,0.05
175,MDIENERGIA,MDI,2.86,0.12,4.38,0.00,0.0000,7246000,0.01
176,MEDIACAP,MCP,2.19,0.09,4.29,0.00,0.0000,7356000,0.01
177,MEDICALG,MDG,25.00,-1.00,-3.85,0.00,0.1100,3206000,0.03
178,MENNICA,MNC,22.00,0.00,0.00,0.00,0.0000,22998000,0.18
179,MERCATOR,MRC,10.18,1.82,21.77,0.00,0.1100,3903000,0.01
180,MERCOR,MCR,9.40,0.00,0.00,0.00,0.0000,6631000,0.02
181,MEXPOLSKA,MEX,2.80,-0.22,-7.28,0.00,0.0000,4114000,0.01
182,MFO,MFO,26.60,0.10,0.38,0.00,0.0100,2496000,0.02
183,MILLENNIUM,MIL,5.91,-0.13,-2.15,-0.03,0.3000,605345000,1.28
184,MIRACULUM,MIR,1.28,-0.06,-4.48,0.00,0.0100,18772000,0.01
185,MIRBUD,MRB,1.08,0.00,-0.46,0.00,0.0100,50906000,0.02
186,MLPGROUP,MLG,53.50,1.00,1.90,0.00,1.4100,6022000,0.12
187,MLSYSTEM,MLS,29.60,-1.80,-5.73,0.00,0.0900,1650000,0.02
188,MOL,MOL,34.82,0.42,1.22,0.00,0.0700,26409000,0.33
189,MONNARI,MON,2.80,0.00,0.00,0.00,0.0200,17291000,0.02
190,MORIZON,MZN,0.75,0.00,0.00,0.00,0.0000,16341000,0.01
191,MOSTALPLC,MSP,6.86,-0.06,-0.87,0.00,0.0000,1026000,0.01
192,MOSTALWAR,MSW,3.83,-0.10,-2.54,0.00,0.0000,7573000,0.01
193,MOSTALZAB,MSZ,0.79,-0.03,-3.79,0.00,0.0100,46949000,0.01
194,MWTRADE,MWT,3.40,0.00,0.00,0.00,0.0000,2451000,0.01
195,NETIA,NET,4.50,-0.09,-1.96,0.00,0.0000,94990000,0.15
196,NEUCA,NEU,388.00,-3.00,-0.77,0.00,0.0200,1348000,0.19
197,NEWAG,NWG,23.00,-0.60,-2.54,0.00,0.0200,21526000,0.18
198,NORTCOAST,NCT,15.50,0.00,0.00,0.00,0.0000,834000,0.01
199,NOVATURAS,NTU,20.00,1.00,5.26,0.00,0.0000,109000,0.01
200,NOWAGALA,CNG,0.82,0.02,1.86,0.00,0.0000,7529000,0.01
201,NTTSYSTEM,NTT,2.31,-0.14,-5.71,0.00,0.0000,4525000,0.01
202,OAT,OAT,12.40,-0.50,-3.88,0.00,0.0500,5942000,0.03
203,ODLEWNIE,ODL,4.58,-0.02,-0.43,0.00,0.0000,9801000,0.02
204,OEX,OEX,17.90,0.00,0.00,0.00,0.0100,2651000,0.02
205,OPENFIN,OPF,1.08,0.04,3.83,0.00,0.0000,4521000,0.01
206,OPONEO.PL,OPN,24.50,0.10,0.41,0.00,0.0200,7651000,0.07
207,OPTEAM,OPM,10.00,0.25,2.56,0.00,0.0000,1245000,0.01
208,ORANGEPL,OPL,7.05,-0.26,-3.49,-0.06,1.5000,647357000,1.64
209,ORBIS,ORB,115.00,1.00,0.88,0.00,0.0100,6526000,0.27
210,ORZBIALY,OBL,11.10,-0.15,-1.33,0.00,0.0000,4513000,0.02
211,OTLOG,OTS,6.95,0.80,13.01,0.00,0.0300,3971000,0.01
212,OTMUCHOW,OTM,1.43,0.00,0.00,0.00,0.0000,9161000,0.01
213,OVOSTAR,OVO,75.00,-2.00,-2.60,0.00,0.0000,1602000,0.04
214,PAMAPOL,PMP,1.07,0.01,0.94,0.00,0.0000,6502000,0.01
215,PANOVA,NVA,16.80,0.30,1.82,0.00,0.0000,5179000,0.03
216,PATENTUS,PAT,1.41,-0.02,-1.40,0.00,0.0000,5959000,0.01
217,PBKM,BKM,63.00,0.00,0.00,0.00,0.0100,3489000,0.08
218,PCCROKITA,PCR,50.80,-0.20,-0.39,0.00,0.0100,3144000,0.06
219,PEKABEX,PBX,11.20,-0.50,-4.27,0.00,0.0100,9909000,0.04
220,PEKAO,PEO,97.46,-3.04,-3.02,-0.19,9.0400,176379000,6.17
221,PEMANAGER,PEM,11.00,0.00,0.00,0.00,0.0000,1129000,0.01
222,PEP,PEP,25.70,-1.20,-4.46,-0.01,0.0400,14710000,0.14
223,PEPEES,PPS,1.67,0.00,0.00,0.00,0.0100,11054000,0.01
224,PGE,PGE,7.14,-0.30,-4.03,-0.08,1.4400,796776000,2.04
225,PGNIG,PGN,3.86,-0.20,-4.98,-0.11,2.6100,1624608000,2.25
226,PGO,PGO,1.24,-0.04,-3.50,0.00,0.0000,31779000,0.01
227,PGSSOFT,PSW,12.00,-0.20,-1.64,0.00,0.0100,10126000,0.04
228,PHARMENA,PHR,5.74,0.00,0.00,0.00,0.0000,3596000,0.01
229,PHN,PHN,12.75,0.20,1.59,0.00,0.0000,14173000,0.06
230,PKNORLEN,PKN,82.58,-2.94,-3.44,-0.29,10.5700,289049000,8.56
231,PKOBP,PKO,34.46,-1.26,-3.53,-0.34,11.8900,776450000,9.60
232,PKPCARGO,PKP,19.84,-0.16,-0.80,0.00,0.0400,30002000,0.21
233,PLASTBOX,PLX,2.15,-0.05,-2.27,0.00,0.0000,8784000,0.01
234,PLAY,PLY,35.70,-0.70,-1.92,-0.03,1.3300,114059000,1.46
235,PLAYWAY,PLW,261.00,-4.50,-1.69,0.00,0.4100,1200000,0.11
236,PLAZACNTR,PLZ,2.48,0.04,1.64,0.00,0.0000,1301000,0.01
237,POLICE,PCE,10.30,-0.30,-2.83,0.00,0.0000,15132000,0.06
238,POLIMEXMS,PXM,2.21,-0.10,-4.53,0.00,0.0500,66989000,0.05
239,POLNORD,PND,3.20,0.00,0.00,0.00,0.0700,21681000,0.02
240,POLWAX,PWX,3.02,-0.04,-1.31,0.00,0.0000,5994000,0.01
241,POZBUD,POZ,1.69,0.00,0.00,0.00,0.0000,21784000,0.01
242,PRAGMAFA,PRF,13.00,0.50,4.00,0.00,0.0000,518000,0.01
243,PRAGMAINK,PRI,7.00,-0.02,-0.28,0.00,0.0000,1907000,0.01
244,PRAIRIE,PDZ,0.57,-0.01,-1.72,0.00,0.0100,34188000,0.01
245,PROCHEM,PRM,16.65,0.00,0.00,0.00,0.0000,1456000,0.01
246,PROJPRZEM,PJP,15.25,0.25,1.67,0.00,0.0000,2050000,0.01
247,PROTEKTOR,PRT,3.13,-0.02,-0.63,0.00,0.0000,3504000,0.01
248,PROVIDENT,IPF,7.38,0.16,2.22,0.00,0.0000,95000,0.01
249,PZU,PZU,40.59,-0.90,-2.17,-0.18,5.3500,568305000,8.27
250,QUERCUS,QRS,3.11,-0.09,-2.81,0.00,0.0200,27248000,0.03
251,R22,R22,24.10,-1.30,-5.12,0.00,0.0800,5321000,0.05
252,RADPOL,RDL,1.46,-0.06,-3.63,0.00,0.0000,33128000,0.02
253,RAFAKO,RFK,0.84,0.03,3.46,0.00,0.3100,72350000,0.02
254,RAFAMET,RAF,12.00,0.00,0.00,0.00,0.0000,590000,0.01
255,RAINBOW,RBW,33.70,-1.50,-4.26,0.00,0.2800,7119000,0.09
256,RANKPROGR,RNK,1.26,-0.09,-6.67,0.00,0.0100,20932000,0.01
257,RAWLPLUG,RWL,8.08,0.00,0.00,0.00,0.0000,12721000,0.04
258,RELPOL,RLP,6.00,-0.10,-1.64,0.00,0.0100,5824000,0.01
259,REMAK,RMK,9.10,-0.26,-2.78,0.00,0.0000,1282000,0.01
260,RONSON,RON,0.84,0.01,1.21,0.00,0.0000,55661000,0.02
261,ROPCZYCE,RPC,24.50,-0.90,-3.54,0.00,0.0000,1193000,0.01
262,RYVU,RVU,50.40,0.00,0.00,0.00,0.0500,9016000,0.16
263,SANOK,SNK,18.90,-0.05,-0.26,0.00,0.0100,23914000,0.16
264,SANPL,SPL,277.40,-14.60,-5.00,-0.17,2.1300,33207000,3.30
265,SANTANDER,SAN,15.70,0.00,0.00,0.00,0.0000,665000,0.01
266,SECOGROUP,SWG,17.50,0.00,0.00,0.00,0.0000,5151000,0.03
267,SEKO,SEK,9.50,-0.50,-5.00,0.00,0.0000,2494000,0.01
268,SELENAFM,SEL,16.40,0.10,0.61,0.00,0.0000,5021000,0.03
269,SELVITA,SLV,26.70,-0.30,-1.11,0.00,0.0100,9048000,0.09
270,SERINUS,SEN,0.53,0.00,0.95,0.00,0.0100,78629000,0.01
271,SETANTA,SET,8.32,-1.44,-14.75,0.00,0.0800,2575000,0.01
272,SFINKS,SFS,0.60,-0.02,-3.85,0.00,0.0000,22291000,0.01
273,SILVAIR-REGS,SVRS,5.05,-0.25,-4.66,0.00,0.0000,7182000,0.01
274,SILVANO,SFG,10.40,0.00,0.00,0.00,0.0000,1794000,0.01
275,SIMPLE,SME,7.00,0.00,0.00,0.00,0.0000,2028000,0.01
276,SKARBIEC,SKH,20.90,-0.40,-1.88,0.00,0.0100,3060000,0.02
277,SKOTAN,SKT,1.02,0.02,2.00,0.00,0.0000,22612000,0.01
278,SNIEZKA,SKA,80.50,-5.50,-6.40,-0.01,0.0100,4992000,0.14
279,SOLAR,SOL,5.40,0.00,0.00,0.00,0.0000,1194000,0.01
280,SONEL,SON,9.25,0.00,0.00,0.00,0.0000,4781000,0.02
281,SOPHARMA,SPH,8.70,-0.96,-9.94,0.00,0.0000,11000,0.01
282,STALEXP,STX,3.00,0.00,0.00,0.00,0.0100,95938000,0.10
283,STALPROD,STP,201.00,-2.00,-0.99,0.00,0.0400,1810000,0.13
284,STALPROFI,STF,7.95,-0.05,-0.62,0.00,0.0100,7716000,0.02
285,SUNEX,SNX,12.50,-0.60,-4.58,0.00,0.0200,1003000,0.01
286,SUWARY,SUW,11.60,-0.40,-3.33,0.00,0.0000,576000,0.01
287,SWISSMED,SWD,4.90,-0.20,-3.92,0.00,0.0100,2381000,0.01
288,SYGNITY,SGN,2.80,0.02,0.72,0.00,0.0200,11337000,0.01
289,SYNEKTIK,SNT,14.30,0.12,0.85,0.00,0.0100,3595000,0.02
290,TALANX,TNX,192.00,3.00,1.59,0.00,0.0000,76000,0.01
291,TALEX,TLX,12.80,0.00,0.00,0.00,0.0000,532000,0.01
292,TATRY,TMR,150.00,1.00,0.67,0.00,0.0000,30000,0.01
293,TAURONPE,TPE,1.51,-0.06,-3.75,-0.02,0.6100,1043590000,0.57
294,TBULL,TBL,15.95,-0.05,-0.31,0.00,0.0100,340000,0.01
295,TESGAS,TSG,4.52,-0.53,-10.50,0.00,0.0600,5049000,0.01
296,TIM,TIM,11.55,-0.40,-3.35,0.00,0.0600,14062000,0.06
297,TORPOL,TOR,7.68,-0.06,-0.78,0.00,0.0600,14241000,0.04
298,TOWERINVT,TOW,24.50,-0.90,-3.54,0.00,0.0000,531000,0.01
299,TOYA,TOA,5.50,-0.15,-2.65,0.00,0.0100,25352000,0.05
300,TRAKCJA,TRK,1.70,-0.08,-4.49,0.00,0.0300,35243000,0.02
301,TRANSPOL,TRN,3.08,0.06,1.82,0.00,0.0200,11641000,0.01
302,TRITON,TRI,2.11,-0.06,-2.76,0.00,0.0000,2531000,0.01
303,TSGAMES,TEN,258.50,-10.00,-3.72,-0.01,0.9600,2637000,0.24
304,ULMA,ULM,55.00,1.50,2.80,0.00,0.0000,1288000,0.03
305,ULTGAMES,ULG,19.68,-0.52,-2.57,0.00,0.0400,2463000,0.02
306,UNIBEP,UNI,9.18,0.02,0.22,0.00,0.0100,13620000,0.04
307,UNICREDIT,UCG,55.00,0.00,0.00,0.00,0.0000,13509000,0.27
308,UNIMOT,UNT,29.60,-0.90,-2.95,0.00,0.0500,2987000,0.03
309,VENTUREIN,VTI,1.05,-0.05,-4.55,0.00,0.0000,4475000,0.01
310,VIGOSYS,VGO,428.00,-10.00,-2.28,0.00,0.0400,484000,0.07
311,VINDEXUS,VIN,8.00,-0.04,-0.50,0.00,0.0000,5074000,0.01
312,VISTAL,VTL,1.99,0.01,0.51,0.00,0.0000,5054000,0.01
313,VIVID,VVD,1.58,0.00,0.13,0.00,0.0100,16934000,0.01
314,VOTUM,VOT,13.40,0.00,0.00,0.00,0.0300,4523000,0.02
315,VOXEL,VOX,31.80,-0.10,-0.31,0.00,0.0100,5317000,0.06
316,VRG,VRG,3.90,0.08,1.96,0.00,0.0400,165364000,0.23
317,WADEX,WAX,6.70,0.00,0.00,0.00,0.0000,692000,0.01
318,WARIMPEX,WXF,7.00,-0.02,-0.28,0.00,0.0000,6184000,0.02
319,WASKO,WAS,1.50,-0.03,-1.96,0.00,0.0000,16450000,0.01
320,WAWEL,WWL,642.00,-14.00,-2.13,0.00,0.0100,717000,0.17
321,WIELTON,WLT,6.95,-0.30,-4.14,0.00,0.0500,20550000,0.05
322,WIKANA,WIK,1.33,-0.01,-0.75,0.00,0.0000,3953000,0.01
323,WIRTUALNA,WPL,81.00,-1.40,-1.70,-0.01,0.2100,17680000,0.51
